Step X Y Z 
125000 1.018049e-10 0.000000e+00 0.000000e+00
125152 1.032243e-10 0.000000e+00 0.000000e+00
128881 1.048346e-10 0.000000e+00 0.000000e+00
136516 1.063076e-10 0.000000e+00 0.000000e+00
136935 9.932546e-11 0.000000e+00 0.000000e+00
142958 9.759832e-11 0.000000e+00 0.000000e+00
143881 9.540407e-11 0.000000e+00 0.000000e+00
146943 9.422782e-11 0.000000e+00 0.000000e+00
150078 9.348580e-11 0.000000e+00 0.000000e+00
154368 9.179476e-11 0.000000e+00 0.000000e+00
160739 9.654703e-11 0.000000e+00 0.000000e+00
170547 1.008035e-10 0.000000e+00 0.000000e+00
184006 9.324774e-11 0.000000e+00 0.000000e+00
190679 9.029276e-11 0.000000e+00 0.000000e+00
193099 9.964604e-11 0.000000e+00 0.000000e+00
196258 1.071777e-10 0.000000e+00 0.000000e+00
196783 8.059514e-11 0.000000e+00 0.000000e+00
204258 1.087157e-10 0.000000e+00 0.000000e+00
214621 9.078602e-11 0.000000e+00 0.000000e+00
219701 8.961633e-11 0.000000e+00 0.000000e+00
224270 8.810271e-11 0.000000e+00 0.000000e+00
228377 9.989252e-11 0.000000e+00 0.000000e+00
230225 9.042238e-11 0.000000e+00 0.000000e+00
241452 8.172136e-11 0.000000e+00 0.000000e+00
241569 1.039299e-10 0.000000e+00 0.000000e+00
243242 8.732778e-11 0.000000e+00 0.000000e+00
244807 8.645894e-11 0.000000e+00 0.000000e+00
249548 9.865045e-11 0.000000e+00 0.000000e+00
255736 9.779574e-11 0.000000e+00 0.000000e+00
265501 8.538739e-11 0.000000e+00 0.000000e+00
269196 9.577401e-11 0.000000e+00 0.000000e+00
280159 8.887831e-11 0.000000e+00 0.000000e+00
286101 8.914660e-11 0.000000e+00 0.000000e+00
292727 1.015214e-10 0.000000e+00 0.000000e+00
293819 1.005281e-10 0.000000e+00 0.000000e+00
294906 9.469800e-11 0.000000e+00 0.000000e+00
295325 7.158931e-11 0.000000e+00 0.000000e+00
298072 1.147492e-10 0.000000e+00 0.000000e+00
300656 9.725867e-11 0.000000e+00 0.000000e+00
301699 9.279777e-11 0.000000e+00 0.000000e+00
303110 1.012039e-10 0.000000e+00 0.000000e+00
321348 9.659997e-11 0.000000e+00 0.000000e+00
345340 9.496397e-11 0.000000e+00 0.000000e+00
351166 7.321459e-11 0.000000e+00 0.000000e+00
358126 9.320922e-11 0.000000e+00 0.000000e+00
364557 8.787764e-11 0.000000e+00 0.000000e+00
364746 1.027053e-10 0.000000e+00 0.000000e+00
365902 9.309190e-11 0.000000e+00 0.000000e+00
367907 1.045848e-10 0.000000e+00 0.000000e+00
368079 1.164930e-10 0.000000e+00 0.000000e+00
370525 9.860447e-11 0.000000e+00 0.000000e+00
372792 9.832548e-11 0.000000e+00 0.000000e+00
375136 1.047503e-10 0.000000e+00 0.000000e+00
378473 9.605659e-11 0.000000e+00 0.000000e+00
379515 -9.861903e-11 0.000000e+00 0.000000e+00
387040 -9.715420e-11 0.000000e+00 0.000000e+00
392806 -1.010248e-10 0.000000e+00 0.000000e+00
406183 -1.038432e-10 0.000000e+00 0.000000e+00
407634 -1.023112e-10 0.000000e+00 0.000000e+00
409835 -9.978841e-11 0.000000e+00 0.000000e+00
416687 -1.056705e-10 0.000000e+00 0.000000e+00
420609 -9.574992e-11 0.000000e+00 0.000000e+00
422697 -1.016786e-10 0.000000e+00 0.000000e+00
425289 -9.436991e-11 0.000000e+00 0.000000e+00
425371 -9.367221e-11 0.000000e+00 0.000000e+00
426396 -9.234182e-11 0.000000e+00 0.000000e+00
426484 -9.240181e-11 0.000000e+00 0.000000e+00
437153 -9.071387e-11 0.000000e+00 0.000000e+00
443928 -1.069614e-10 0.000000e+00 0.000000e+00
448538 -1.013928e-10 0.000000e+00 0.000000e+00
457058 -9.825737e-11 0.000000e+00 0.000000e+00
471660 -9.918433e-11 0.000000e+00 0.000000e+00
474673 -1.076527e-10 0.000000e+00 0.000000e+00
477434 -1.086074e-10 0.000000e+00 0.000000e+00
478439 -1.092200e-10 0.000000e+00 0.000000e+00
480061 -1.100378e-10 0.000000e+00 0.000000e+00
483091 -1.110006e-10 0.000000e+00 0.000000e+00
483397 -1.027521e-10 0.000000e+00 0.000000e+00
485076 -1.046533e-10 0.000000e+00 0.000000e+00
500856 -9.760343e-11 0.000000e+00 0.000000e+00
506723 -9.526658e-11 0.000000e+00 0.000000e+00
508077 -1.067011e-10 0.000000e+00 0.000000e+00
516999 -9.689757e-11 0.000000e+00 0.000000e+00
520533 -9.397026e-11 0.000000e+00 0.000000e+00
526283 -1.042689e-10 0.000000e+00 0.000000e+00
526331 -7.080784e-11 0.000000e+00 0.000000e+00
526628 -1.063396e-10 0.000000e+00 0.000000e+00
531987 -1.041877e-10 0.000000e+00 0.000000e+00
534061 -1.079129e-10 0.000000e+00 0.000000e+00
549878 -9.068472e-11 0.000000e+00 0.000000e+00
556103 -8.925987e-11 0.000000e+00 0.000000e+00
558339 -9.311532e-11 0.000000e+00 0.000000e+00
560385 -1.152103e-10 0.000000e+00 0.000000e+00
