Step X Y Z 
125000 1.001941e-10 0.000000e+00 0.000000e+00
137630 9.761594e-11 0.000000e+00 0.000000e+00
139797 9.896085e-11 0.000000e+00 0.000000e+00
139852 1.046981e-10 0.000000e+00 0.000000e+00
142819 9.604569e-11 0.000000e+00 0.000000e+00
145221 1.015904e-10 0.000000e+00 0.000000e+00
146255 1.031819e-10 0.000000e+00 0.000000e+00
152180 9.450399e-11 0.000000e+00 0.000000e+00
154948 1.056044e-10 0.000000e+00 0.000000e+00
174408 1.068054e-10 0.000000e+00 0.000000e+00
175474 1.078213e-10 0.000000e+00 0.000000e+00
179959 9.837824e-11 0.000000e+00 0.000000e+00
186887 9.318252e-11 0.000000e+00 0.000000e+00
187883 9.186526e-11 0.000000e+00 0.000000e+00
191926 9.065636e-11 0.000000e+00 0.000000e+00
195247 8.969391e-11 0.000000e+00 0.000000e+00
197679 1.016939e-10 0.000000e+00 0.000000e+00
201219 9.064666e-11 0.000000e+00 0.000000e+00
203281 8.211022e-11 0.000000e+00 0.000000e+00
211366 1.090425e-10 0.000000e+00 0.000000e+00
220968 8.930572e-11 0.000000e+00 0.000000e+00
221297 1.123210e-10 0.000000e+00 0.000000e+00
224115 1.087255e-10 0.000000e+00 0.000000e+00
227123 1.078279e-10 0.000000e+00 0.000000e+00
230532 8.846990e-11 0.000000e+00 0.000000e+00
232353 8.773353e-11 0.000000e+00 0.000000e+00
235497 8.571269e-11 0.000000e+00 0.000000e+00
238419 9.849972e-11 0.000000e+00 0.000000e+00
251795 9.666737e-11 0.000000e+00 0.000000e+00
253646 9.717515e-11 0.000000e+00 0.000000e+00
265445 1.102673e-10 0.000000e+00 0.000000e+00
270738 7.741771e-11 0.000000e+00 0.000000e+00
271007 7.906825e-11 0.000000e+00 0.000000e+00
275708 1.138480e-10 0.000000e+00 0.000000e+00
277159 8.162218e-11 0.000000e+00 0.000000e+00
279442 8.069878e-11 0.000000e+00 0.000000e+00
284021 1.018270e-10 0.000000e+00 0.000000e+00
284577 1.035003e-10 0.000000e+00 0.000000e+00
288332 1.045558e-10 0.000000e+00 0.000000e+00
307642 1.032241e-10 0.000000e+00 0.000000e+00
315989 1.165891e-10 0.000000e+00 0.000000e+00
324200 1.057361e-10 0.000000e+00 0.000000e+00
327145 1.111243e-10 0.000000e+00 0.000000e+00
328696 9.432267e-11 0.000000e+00 0.000000e+00
329351 7.847511e-11 0.000000e+00 0.000000e+00
337857 1.007907e-10 0.000000e+00 0.000000e+00
341889 1.137148e-10 0.000000e+00 0.000000e+00
342443 9.349947e-11 0.000000e+00 0.000000e+00
342647 9.896956e-11 0.000000e+00 0.000000e+00
353692 7.531602e-11 0.000000e+00 0.000000e+00
356555 8.420071e-11 0.000000e+00 0.000000e+00
359620 1.144337e-10 0.000000e+00 0.000000e+00
359982 9.582392e-11 0.000000e+00 0.000000e+00
