pX pY pZ 
-6.630575e-14 0.000000e+00 0.000000e+00
1.583671e-14 0.000000e+00 0.000000e+00
-4.819659e-14 0.000000e+00 0.000000e+00
2.991708e-13 0.000000e+00 0.000000e+00
1.885572e-13 0.000000e+00 0.000000e+00
-2.473132e-13 0.000000e+00 0.000000e+00
-1.233034e-13 0.000000e+00 0.000000e+00
-2.969276e-13 0.000000e+00 0.000000e+00
-1.572327e-13 0.000000e+00 0.000000e+00
-2.620312e-13 0.000000e+00 0.000000e+00
-9.228218e-14 0.000000e+00 0.000000e+00
8.828400e-14 0.000000e+00 0.000000e+00
-3.530882e-15 0.000000e+00 0.000000e+00
3.189923e-14 0.000000e+00 0.000000e+00
1.403634e-13 0.000000e+00 0.000000e+00
2.651386e-13 0.000000e+00 0.000000e+00
-1.496318e-13 0.000000e+00 0.000000e+00
1.466593e-13 0.000000e+00 0.000000e+00
4.131998e-13 0.000000e+00 0.000000e+00
2.845290e-13 0.000000e+00 0.000000e+00
-2.215722e-13 0.000000e+00 0.000000e+00
-2.475841e-13 0.000000e+00 0.000000e+00
2.178814e-13 0.000000e+00 0.000000e+00
1.841420e-13 0.000000e+00 0.000000e+00
1.057365e-13 0.000000e+00 0.000000e+00
2.432895e-13 0.000000e+00 0.000000e+00
-2.848091e-13 0.000000e+00 0.000000e+00
5.885998e-14 0.000000e+00 0.000000e+00
1.527144e-13 0.000000e+00 0.000000e+00
-3.344394e-14 0.000000e+00 0.000000e+00
-3.059095e-14 0.000000e+00 0.000000e+00
-1.463245e-14 0.000000e+00 0.000000e+00
2.728385e-15 0.000000e+00 0.000000e+00
1.414862e-13 0.000000e+00 0.000000e+00
-4.887399e-14 0.000000e+00 0.000000e+00
2.124652e-13 0.000000e+00 0.000000e+00
2.330038e-15 0.000000e+00 0.000000e+00
2.016451e-13 0.000000e+00 0.000000e+00
8.276482e-14 0.000000e+00 0.000000e+00
1.721212e-13 0.000000e+00 0.000000e+00
2.286499e-13 0.000000e+00 0.000000e+00
1.305056e-14 0.000000e+00 0.000000e+00
-7.270430e-14 0.000000e+00 0.000000e+00
-9.939170e-14 0.000000e+00 0.000000e+00
1.702530e-13 0.000000e+00 0.000000e+00
4.663090e-14 0.000000e+00 0.000000e+00
1.666566e-13 0.000000e+00 0.000000e+00
-3.575638e-14 0.000000e+00 0.000000e+00
3.587315e-13 0.000000e+00 0.000000e+00
-1.763856e-13 0.000000e+00 0.000000e+00
-1.247910e-13 0.000000e+00 0.000000e+00
3.854571e-14 0.000000e+00 0.000000e+00
