pX pY pZ 
-6.934730e-14 0.000000e+00 0.000000e+00
-6.560088e-14 0.000000e+00 0.000000e+00
-2.669014e-15 0.000000e+00 0.000000e+00
1.958721e-14 0.000000e+00 0.000000e+00
-3.270739e-13 0.000000e+00 0.000000e+00
2.153343e-13 0.000000e+00 0.000000e+00
1.800865e-13 0.000000e+00 0.000000e+00
-5.155066e-14 0.000000e+00 0.000000e+00
-1.215281e-13 0.000000e+00 0.000000e+00
5.443991e-14 0.000000e+00 0.000000e+00
1.192354e-13 0.000000e+00 0.000000e+00
1.834298e-13 0.000000e+00 0.000000e+00
1.045050e-14 0.000000e+00 0.000000e+00
-1.165538e-13 0.000000e+00 0.000000e+00
-4.373931e-14 0.000000e+00 0.000000e+00
-1.084020e-13 0.000000e+00 0.000000e+00
-1.987420e-13 0.000000e+00 0.000000e+00
-9.799784e-14 0.000000e+00 0.000000e+00
-8.937343e-14 0.000000e+00 0.000000e+00
9.619444e-14 0.000000e+00 0.000000e+00
-1.410895e-13 0.000000e+00 0.000000e+00
-9.348038e-14 0.000000e+00 0.000000e+00
7.982029e-14 0.000000e+00 0.000000e+00
-4.163286e-14 0.000000e+00 0.000000e+00
2.101336e-14 0.000000e+00 0.000000e+00
1.861779e-13 0.000000e+00 0.000000e+00
-2.026982e-14 0.000000e+00 0.000000e+00
1.276924e-13 0.000000e+00 0.000000e+00
1.874273e-13 0.000000e+00 0.000000e+00
1.254264e-13 0.000000e+00 0.000000e+00
-7.693036e-14 0.000000e+00 0.000000e+00
1.814050e-13 0.000000e+00 0.000000e+00
-1.914621e-13 0.000000e+00 0.000000e+00
-1.720245e-13 0.000000e+00 0.000000e+00
-2.691052e-14 0.000000e+00 0.000000e+00
2.136482e-13 0.000000e+00 0.000000e+00
-2.789060e-14 0.000000e+00 0.000000e+00
8.823089e-14 0.000000e+00 0.000000e+00
1.387677e-13 0.000000e+00 0.000000e+00
5.309499e-14 0.000000e+00 0.000000e+00
4.260385e-14 0.000000e+00 0.000000e+00
3.375041e-14 0.000000e+00 0.000000e+00
-3.140002e-14 0.000000e+00 0.000000e+00
-4.221261e-14 0.000000e+00 0.000000e+00
-1.318161e-13 0.000000e+00 0.000000e+00
1.677993e-13 0.000000e+00 0.000000e+00
-1.574654e-13 0.000000e+00 0.000000e+00
1.389701e-13 0.000000e+00 0.000000e+00
-7.741734e-14 0.000000e+00 0.000000e+00
-3.718209e-14 0.000000e+00 0.000000e+00
7.263136e-14 0.000000e+00 0.000000e+00
2.466481e-13 0.000000e+00 0.000000e+00
1.557760e-13 0.000000e+00 0.000000e+00
-5.799539e-14 0.000000e+00 0.000000e+00
-8.106904e-14 0.000000e+00 0.000000e+00
2.597842e-13 0.000000e+00 0.000000e+00
8.547012e-14 0.000000e+00 0.000000e+00
-6.035308e-14 0.000000e+00 0.000000e+00
-2.143306e-13 0.000000e+00 0.000000e+00
2.378247e-13 0.000000e+00 0.000000e+00
1.168110e-13 0.000000e+00 0.000000e+00
5.728747e-14 0.000000e+00 0.000000e+00
2.434210e-13 0.000000e+00 0.000000e+00
1.011366e-13 0.000000e+00 0.000000e+00
-6.531546e-14 0.000000e+00 0.000000e+00
1.412784e-13 0.000000e+00 0.000000e+00
7.322790e-14 0.000000e+00 0.000000e+00
2.387516e-13 0.000000e+00 0.000000e+00
-4.022391e-14 0.000000e+00 0.000000e+00
-1.255610e-13 0.000000e+00 0.000000e+00
1.068920e-13 0.000000e+00 0.000000e+00
-2.057717e-13 0.000000e+00 0.000000e+00
-5.173438e-15 0.000000e+00 0.000000e+00
3.132243e-13 0.000000e+00 0.000000e+00
2.093511e-13 0.000000e+00 0.000000e+00
1.721572e-13 0.000000e+00 0.000000e+00
2.957066e-13 0.000000e+00 0.000000e+00
1.235551e-13 0.000000e+00 0.000000e+00
2.563678e-13 0.000000e+00 0.000000e+00
-9.843806e-14 0.000000e+00 0.000000e+00
6.956649e-14 0.000000e+00 0.000000e+00
1.541140e-13 0.000000e+00 0.000000e+00
-2.436788e-13 0.000000e+00 0.000000e+00
