FX FY FZ 
2.359589e-11 0.000000e+00 0.000000e+00
-5.306712e-10 0.000000e+00 0.000000e+00
3.530361e-10 0.000000e+00 0.000000e+00
-3.213844e-10 0.000000e+00 0.000000e+00
4.534061e-10 0.000000e+00 0.000000e+00
-2.215093e-10 0.000000e+00 0.000000e+00
-1.057523e-09 0.000000e+00 0.000000e+00
-7.071340e-10 0.000000e+00 0.000000e+00
-3.515755e-10 0.000000e+00 0.000000e+00
-3.494051e-10 0.000000e+00 0.000000e+00
-3.096664e-10 0.000000e+00 0.000000e+00
-8.661372e-10 0.000000e+00 0.000000e+00
-7.089890e-10 0.000000e+00 0.000000e+00
-3.803283e-10 0.000000e+00 0.000000e+00
-5.555145e-10 0.000000e+00 0.000000e+00
-6.233116e-10 0.000000e+00 0.000000e+00
-4.197188e-10 0.000000e+00 0.000000e+00
-5.405838e-10 0.000000e+00 0.000000e+00
-4.550722e-10 0.000000e+00 0.000000e+00
-4.975521e-10 0.000000e+00 0.000000e+00
-4.476605e-10 0.000000e+00 0.000000e+00
-5.106362e-10 0.000000e+00 0.000000e+00
-5.389688e-10 0.000000e+00 0.000000e+00
-5.384564e-10 0.000000e+00 0.000000e+00
-4.941948e-10 0.000000e+00 0.000000e+00
-5.139526e-10 0.000000e+00 0.000000e+00
-1.008507e-09 0.000000e+00 0.000000e+00
-9.587600e-10 0.000000e+00 0.000000e+00
-7.887061e-10 0.000000e+00 0.000000e+00
-7.784798e-10 0.000000e+00 0.000000e+00
-7.027913e-10 0.000000e+00 0.000000e+00
-6.559799e-10 0.000000e+00 0.000000e+00
-8.541608e-10 0.000000e+00 0.000000e+00
-1.206713e-09 0.000000e+00 0.000000e+00
-8.548299e-10 0.000000e+00 0.000000e+00
-7.682282e-10 0.000000e+00 0.000000e+00
1.791865e-10 0.000000e+00 0.000000e+00
3.717011e-10 0.000000e+00 0.000000e+00
-5.537051e-11 0.000000e+00 0.000000e+00
-6.317226e-12 0.000000e+00 0.000000e+00
9.435077e-11 0.000000e+00 0.000000e+00
-1.076654e-10 0.000000e+00 0.000000e+00
1.363802e-11 0.000000e+00 0.000000e+00
-1.001826e-11 0.000000e+00 0.000000e+00
-1.126327e-10 0.000000e+00 0.000000e+00
1.928304e-11 0.000000e+00 0.000000e+00
-4.466797e-11 0.000000e+00 0.000000e+00
-1.714995e-10 0.000000e+00 0.000000e+00
-9.225447e-11 0.000000e+00 0.000000e+00
-2.395274e-11 0.000000e+00 0.000000e+00
-1.203976e-10 0.000000e+00 0.000000e+00
-1.663212e-10 0.000000e+00 0.000000e+00
-1.485328e-10 0.000000e+00 0.000000e+00
-1.747072e-10 0.000000e+00 0.000000e+00
-1.718680e-10 0.000000e+00 0.000000e+00
-1.677284e-10 0.000000e+00 0.000000e+00
-2.495370e-10 0.000000e+00 0.000000e+00
-2.595583e-10 0.000000e+00 0.000000e+00
-2.704958e-10 0.000000e+00 0.000000e+00
-2.707273e-10 0.000000e+00 0.000000e+00
-2.662387e-10 0.000000e+00 0.000000e+00
-3.216933e-11 0.000000e+00 0.000000e+00
-3.547770e-11 0.000000e+00 0.000000e+00
-2.634755e-11 0.000000e+00 0.000000e+00
-6.065136e-11 0.000000e+00 0.000000e+00
-2.609055e-11 0.000000e+00 0.000000e+00
5.267856e-11 0.000000e+00 0.000000e+00
6.464830e-11 0.000000e+00 0.000000e+00
5.469921e-11 0.000000e+00 0.000000e+00
5.056054e-11 0.000000e+00 0.000000e+00
6.588682e-11 0.000000e+00 0.000000e+00
2.070810e-10 0.000000e+00 0.000000e+00
3.211666e-10 0.000000e+00 0.000000e+00
1.411375e-10 0.000000e+00 0.000000e+00
6.211909e-10 0.000000e+00 0.000000e+00
6.313899e-10 0.000000e+00 0.000000e+00
5.795629e-10 0.000000e+00 0.000000e+00
5.691863e-10 0.000000e+00 0.000000e+00
6.166782e-10 0.000000e+00 0.000000e+00
6.326975e-10 0.000000e+00 0.000000e+00
6.323376e-10 0.000000e+00 0.000000e+00
6.326944e-10 0.000000e+00 0.000000e+00
6.323322e-10 0.000000e+00 0.000000e+00
6.327099e-10 0.000000e+00 0.000000e+00
6.327716e-10 0.000000e+00 0.000000e+00
6.327759e-10 0.000000e+00 0.000000e+00
1.784474e-10 0.000000e+00 0.000000e+00
3.496805e-10 0.000000e+00 0.000000e+00
2.339380e-10 0.000000e+00 0.000000e+00
1.657097e-10 0.000000e+00 0.000000e+00
3.105707e-10 0.000000e+00 0.000000e+00
4.456492e-10 0.000000e+00 0.000000e+00
3.767263e-10 0.000000e+00 0.000000e+00
3.892152e-10 0.000000e+00 0.000000e+00
5.627124e-10 0.000000e+00 0.000000e+00
5.903852e-10 0.000000e+00 0.000000e+00
6.186301e-10 0.000000e+00 0.000000e+00
6.278189e-10 0.000000e+00 0.000000e+00
6.267809e-10 0.000000e+00 0.000000e+00
6.129195e-10 0.000000e+00 0.000000e+00
6.201238e-10 0.000000e+00 0.000000e+00
6.237191e-10 0.000000e+00 0.000000e+00
6.260686e-10 0.000000e+00 0.000000e+00
6.288298e-10 0.000000e+00 0.000000e+00
6.247460e-10 0.000000e+00 0.000000e+00
6.275024e-10 0.000000e+00 0.000000e+00
-5.544524e-10 0.000000e+00 0.000000e+00
-5.560274e-10 0.000000e+00 0.000000e+00
-5.514141e-10 0.000000e+00 0.000000e+00
-5.676725e-10 0.000000e+00 0.000000e+00
-5.569784e-10 0.000000e+00 0.000000e+00
-1.071549e-09 0.000000e+00 0.000000e+00
-9.100301e-10 0.000000e+00 0.000000e+00
-1.029909e-09 0.000000e+00 0.000000e+00
-9.034716e-10 0.000000e+00 0.000000e+00
-1.069435e-09 0.000000e+00 0.000000e+00
-1.337366e-09 0.000000e+00 0.000000e+00
-1.599194e-09 0.000000e+00 0.000000e+00
-1.308744e-09 0.000000e+00 0.000000e+00
-1.207227e-09 0.000000e+00 0.000000e+00
-1.163847e-09 0.000000e+00 0.000000e+00
-8.586487e-10 0.000000e+00 0.000000e+00
-9.486526e-10 0.000000e+00 0.000000e+00
-9.541771e-10 0.000000e+00 0.000000e+00
-9.953104e-10 0.000000e+00 0.000000e+00
-8.574670e-10 0.000000e+00 0.000000e+00
-9.336870e-10 0.000000e+00 0.000000e+00
-1.001120e-09 0.000000e+00 0.000000e+00
-9.691943e-10 0.000000e+00 0.000000e+00
-9.565673e-10 0.000000e+00 0.000000e+00
-9.642511e-10 0.000000e+00 0.000000e+00
-1.275575e-09 0.000000e+00 0.000000e+00
-1.710893e-09 0.000000e+00 0.000000e+00
-1.910483e-09 0.000000e+00 0.000000e+00
-1.552102e-09 0.000000e+00 0.000000e+00
-1.238226e-09 0.000000e+00 0.000000e+00
-1.761260e-09 0.000000e+00 0.000000e+00
-1.478289e-09 0.000000e+00 0.000000e+00
-1.323949e-09 0.000000e+00 0.000000e+00
-1.509420e-09 0.000000e+00 0.000000e+00
-1.809720e-09 0.000000e+00 0.000000e+00
4.130414e-10 0.000000e+00 0.000000e+00
5.665405e-10 0.000000e+00 0.000000e+00
3.691775e-10 0.000000e+00 0.000000e+00
4.775423e-10 0.000000e+00 0.000000e+00
5.072220e-10 0.000000e+00 0.000000e+00
3.763606e-10 0.000000e+00 0.000000e+00
3.958267e-10 0.000000e+00 0.000000e+00
3.893250e-10 0.000000e+00 0.000000e+00
3.813769e-10 0.000000e+00 0.000000e+00
4.490029e-10 0.000000e+00 0.000000e+00
-6.957844e-11 0.000000e+00 0.000000e+00
-7.145537e-11 0.000000e+00 0.000000e+00
-7.869725e-11 0.000000e+00 0.000000e+00
-5.550986e-11 0.000000e+00 0.000000e+00
-6.964088e-11 0.000000e+00 0.000000e+00
-1.325594e-09 0.000000e+00 0.000000e+00
-1.474512e-09 0.000000e+00 0.000000e+00
-1.352071e-09 0.000000e+00 0.000000e+00
-1.379428e-09 0.000000e+00 0.000000e+00
-1.586270e-09 0.000000e+00 0.000000e+00
-1.362260e-09 0.000000e+00 0.000000e+00
-1.329823e-09 0.000000e+00 0.000000e+00
-1.448758e-09 0.000000e+00 0.000000e+00
-1.390136e-09 0.000000e+00 0.000000e+00
-1.384702e-09 0.000000e+00 0.000000e+00
-1.484532e-09 0.000000e+00 0.000000e+00
-1.459249e-09 0.000000e+00 0.000000e+00
-1.426013e-09 0.000000e+00 0.000000e+00
-1.475810e-09 0.000000e+00 0.000000e+00
-1.479139e-09 0.000000e+00 0.000000e+00
-1.310133e-09 0.000000e+00 0.000000e+00
-1.302138e-09 0.000000e+00 0.000000e+00
-1.322917e-09 0.000000e+00 0.000000e+00
-1.322580e-09 0.000000e+00 0.000000e+00
-1.306813e-09 0.000000e+00 0.000000e+00
2.740760e-10 0.000000e+00 0.000000e+00
1.835545e-10 0.000000e+00 0.000000e+00
2.092310e-10 0.000000e+00 0.000000e+00
1.873462e-10 0.000000e+00 0.000000e+00
2.114704e-10 0.000000e+00 0.000000e+00
2.647242e-10 0.000000e+00 0.000000e+00
2.501262e-10 0.000000e+00 0.000000e+00
2.660652e-10 0.000000e+00 0.000000e+00
2.655816e-10 0.000000e+00 0.000000e+00
2.806881e-10 0.000000e+00 0.000000e+00
3.891348e-10 0.000000e+00 0.000000e+00
3.689315e-10 0.000000e+00 0.000000e+00
3.574362e-10 0.000000e+00 0.000000e+00
3.875732e-10 0.000000e+00 0.000000e+00
3.924271e-10 0.000000e+00 0.000000e+00
3.705352e-10 0.000000e+00 0.000000e+00
3.558957e-10 0.000000e+00 0.000000e+00
3.583432e-10 0.000000e+00 0.000000e+00
3.603953e-10 0.000000e+00 0.000000e+00
3.640414e-10 0.000000e+00 0.000000e+00
3.381726e-10 0.000000e+00 0.000000e+00
3.431900e-10 0.000000e+00 0.000000e+00
3.433329e-10 0.000000e+00 0.000000e+00
3.383300e-10 0.000000e+00 0.000000e+00
3.303644e-10 0.000000e+00 0.000000e+00
3.523292e-10 0.000000e+00 0.000000e+00
4.772395e-10 0.000000e+00 0.000000e+00
4.781794e-10 0.000000e+00 0.000000e+00
4.793501e-10 0.000000e+00 0.000000e+00
4.836448e-10 0.000000e+00 0.000000e+00
-5.336761e-10 0.000000e+00 0.000000e+00
4.817788e-10 0.000000e+00 0.000000e+00
-3.105816e-10 0.000000e+00 0.000000e+00
2.620607e-10 0.000000e+00 0.000000e+00
-1.425238e-10 0.000000e+00 0.000000e+00
-3.075912e-10 0.000000e+00 0.000000e+00
-2.110399e-10 0.000000e+00 0.000000e+00
-5.427232e-10 0.000000e+00 0.000000e+00
-5.016615e-10 0.000000e+00 0.000000e+00
-2.253826e-10 0.000000e+00 0.000000e+00
-5.770407e-10 0.000000e+00 0.000000e+00
-4.474729e-10 0.000000e+00 0.000000e+00
-4.974723e-10 0.000000e+00 0.000000e+00
-2.648270e-10 0.000000e+00 0.000000e+00
-3.555748e-10 0.000000e+00 0.000000e+00
-5.949623e-10 0.000000e+00 0.000000e+00
-5.386704e-10 0.000000e+00 0.000000e+00
-5.568699e-10 0.000000e+00 0.000000e+00
-5.217366e-10 0.000000e+00 0.000000e+00
-4.289068e-10 0.000000e+00 0.000000e+00
-4.016375e-10 0.000000e+00 0.000000e+00
-3.795247e-10 0.000000e+00 0.000000e+00
-4.054201e-10 0.000000e+00 0.000000e+00
-3.880090e-10 0.000000e+00 0.000000e+00
-4.046870e-10 0.000000e+00 0.000000e+00
-3.837933e-10 0.000000e+00 0.000000e+00
-3.884724e-10 0.000000e+00 0.000000e+00
-3.895502e-10 0.000000e+00 0.000000e+00
-3.736007e-10 0.000000e+00 0.000000e+00
-3.795345e-10 0.000000e+00 0.000000e+00
2.915064e-10 0.000000e+00 0.000000e+00
3.776638e-10 0.000000e+00 0.000000e+00
5.824437e-10 0.000000e+00 0.000000e+00
2.899132e-10 0.000000e+00 0.000000e+00
2.981896e-10 0.000000e+00 0.000000e+00
-5.451683e-10 0.000000e+00 0.000000e+00
-5.546106e-10 0.000000e+00 0.000000e+00
-4.532909e-10 0.000000e+00 0.000000e+00
-4.552674e-10 0.000000e+00 0.000000e+00
-5.260318e-10 0.000000e+00 0.000000e+00
-5.760404e-10 0.000000e+00 0.000000e+00
-6.026706e-10 0.000000e+00 0.000000e+00
-5.567104e-10 0.000000e+00 0.000000e+00
-5.567250e-10 0.000000e+00 0.000000e+00
-6.088330e-10 0.000000e+00 0.000000e+00
-6.221365e-10 0.000000e+00 0.000000e+00
-6.149169e-10 0.000000e+00 0.000000e+00
-6.288904e-10 0.000000e+00 0.000000e+00
-6.322221e-10 0.000000e+00 0.000000e+00
-5.145178e-10 0.000000e+00 0.000000e+00
-4.912075e-10 0.000000e+00 0.000000e+00
6.254661e-10 0.000000e+00 0.000000e+00
6.025199e-10 0.000000e+00 0.000000e+00
5.089193e-10 0.000000e+00 0.000000e+00
4.534201e-11 0.000000e+00 0.000000e+00
6.092365e-10 0.000000e+00 0.000000e+00
6.298197e-10 0.000000e+00 0.000000e+00
6.295711e-10 0.000000e+00 0.000000e+00
6.248612e-10 0.000000e+00 0.000000e+00
6.269276e-10 0.000000e+00 0.000000e+00
5.591221e-10 0.000000e+00 0.000000e+00
5.361232e-10 0.000000e+00 0.000000e+00
5.232565e-10 0.000000e+00 0.000000e+00
5.646326e-10 0.000000e+00 0.000000e+00
5.276279e-10 0.000000e+00 0.000000e+00
5.576128e-10 0.000000e+00 0.000000e+00
5.500243e-10 0.000000e+00 0.000000e+00
5.743619e-10 0.000000e+00 0.000000e+00
5.562765e-10 0.000000e+00 0.000000e+00
5.567545e-10 0.000000e+00 0.000000e+00
5.764543e-10 0.000000e+00 0.000000e+00
5.797096e-10 0.000000e+00 0.000000e+00
5.753685e-10 0.000000e+00 0.000000e+00
5.761639e-10 0.000000e+00 0.000000e+00
5.780469e-10 0.000000e+00 0.000000e+00
-1.680317e-09 0.000000e+00 0.000000e+00
-1.729790e-09 0.000000e+00 0.000000e+00
-1.690251e-09 0.000000e+00 0.000000e+00
-1.693117e-09 0.000000e+00 0.000000e+00
-1.671174e-09 0.000000e+00 0.000000e+00
-1.945626e-09 0.000000e+00 0.000000e+00
-2.011379e-09 0.000000e+00 0.000000e+00
-2.010588e-09 0.000000e+00 0.000000e+00
-2.019695e-09 0.000000e+00 0.000000e+00
-2.182236e-09 0.000000e+00 0.000000e+00
-1.769144e-09 0.000000e+00 0.000000e+00
-2.059629e-09 0.000000e+00 0.000000e+00
-1.986974e-09 0.000000e+00 0.000000e+00
